property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,total_capacity,bedrooms_per_accommodates,bathrooms_per_accommodates,review_activity_ratio,host_experience_days,days_since_last_review,review_scores_consistency,booking_pressure,description_length,amenities_count
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,f,2.0,2.0,44.85348,-0.55064,t,5,24,37,37,1,1,1,5.0,5.0,4.0,5.0,1.0,129.0,8.0,0.4,0.2,0.0030395136778115,2878.0,-409.0,0.5,328,445,27
Shared room in hostel,Shared room,10,2.0,1.0,10.0,within an hour,100%,t,5.0,45.0,22.32039,114.18712,t,16,42,72,347,27,3,0,4.93,4.81,4.89,4.93,0.35,264.0,100.0,0.0909090909090909,0.1818181818181818,0.0184210526315789,3333.0,-358.0,0.0565685424949238,18,115,18
Entire villa,Entire home/apt,6,2.0,3.0,4.0,within an hour,100%,f,542.0,1096.0,41.8528942,3.0646827,t,29,59,89,364,1,1,0,3.0,4.0,3.0,2.0,0.16,202.0,24.0,0.4285714285714285,0.2857142857142857,0.08,537.0,-175.0,0.816496580927726,1,420,32
Private room in rental unit,Private room,1,1.0,1.0,1.0,within an hour,100%,t,9.0,10.0,19.420352441096384,-99.1672748971848,t,16,23,23,290,18,14,0,4.89,4.94,5.0,4.83,0.99,507.0,1.0,0.5,0.5,0.0130263157894736,2580.0,-325.0,0.0723417813807024,75,438,47
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,100%,t,1.0,1.0,40.38985,-3.70166,t,6,12,41,41,111,33,3,4.97,4.96,4.85,4.94,1.95,43.0,2.0,0.3333333333333333,0.3333333333333333,0.006,2071.0,-420.0,0.0547722557505167,324,456,50
Entire guesthouse,Entire home/apt,4,1.0,1.0,1.0,within a few hours,90%,f,4.0,5.0,22.29705201407003,114.17185973760746,t,23,53,83,262,2,0,0,4.0,4.0,5.0,4.0,0.15,477.0,4.0,0.2,0.2,0.0014423076923076,363.0,-62.0,0.5,103,142,4
Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,within a few hours,98%,f,259.0,259.0,40.42044929999999,-3.7079859,t,0,11,41,316,3,0,0,5.0,5.0,5.0,5.0,0.12,173.0,8.0,0.4,0.4,0.0024,761.0,-26.0,0.0,49,257,28
Private room in rental unit,Private room,4,1.0,3.0,3.0,a few days or more,0%,f,1.0,6.0,40.38101874554312,-3.7800911486679314,t,14,44,74,254,4,0,0,4.25,4.5,4.0,3.75,0.19,20.0,12.0,0.6,0.2,0.0016964285714285,201.0,178.0,0.3227486121839514,111,61,34
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within a few hours,100%,f,1.0,1.0,-22.965128004541604,-43.19087771907318,t,5,5,5,5,0,0,0,,,,,,693.0,6.0,0.25,0.25,,-322.0,,,360,508,19
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within a few hours,100%,t,2.0,2.0,41.9866885,2.8245355,t,1,28,58,323,93,35,1,4.86,4.92,4.92,4.68,3.82,281.0,8.0,0.4,0.2,0.0888372093023255,574.0,-352.0,0.1135781669160056,42,353,17
Entire rental unit,Entire home/apt,4,1.0,0.0,0.0,,,f,1.0,1.0,48.8328757,2.3461151,t,29,59,89,269,0,0,0,,,,,,300.0,0.0,0.0,0.2,,1798.0,,,96,68,30
Entire vacation home,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,t,3.0,3.0,36.69479045383484,15.122609920799732,t,30,60,90,253,27,27,3,5.0,5.0,4.78,4.96,2.3,63.0,12.0,0.2,0.2,0.0203539823008849,512.0,-359.0,0.1050396750439247,112,419,64
Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,a few days or more,17%,f,1.0,2.0,-22.97602,-43.1967,t,28,58,74,253,0,0,0,,,,,,640.0,8.0,0.4,0.4,,2253.0,,,112,518,17
Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,within a few hours,100%,t,1.0,1.0,30.29130179182696,-97.712926435963,t,10,25,52,316,291,36,1,4.97,4.95,4.97,4.94,2.4,129.0,2.0,0.3333333333333333,0.3333333333333333,0.048,3232.0,-409.0,0.0149999999999996,49,489,40
Private room in rental unit,Private room,1,1.5,1.0,1.0,within a few hours,100%,f,4.0,6.0,52.46483,13.51275,t,5,5,5,214,8,1,0,4.38,4.25,4.38,4.38,0.06,25.0,1.0,0.5,0.75,0.0003947368421052,4026.0,-274.0,0.0649999999999999,151,0,24
Entire rental unit,Entire home/apt,4,1.0,1.0,4.0,,,f,5.0,5.0,40.30256,17.56651,t,0,0,0,205,0,0,0,,,,,,80.0,16.0,0.2,0.2,,3294.0,,,160,409,6
Private room in home,Private room,1,1.0,1.0,1.0,within an hour,100%,t,5.0,7.0,52.64189,-9.47776,t,30,60,90,365,89,14,0,4.91,4.94,4.93,4.89,0.99,85.0,1.0,0.5,0.5,0.99,3127.0,-283.0,0.0221735578260836,0,98,27
Private room in bed and breakfast,Private room,1,1.0,1.0,1.0,within an hour,98%,f,30.0,30.0,-27.49208112395113,153.0279185881182,t,27,57,87,362,0,0,0,,,,,,90.0,1.0,0.5,0.5,,1673.0,,,3,84,6
Entire condo,Entire home/apt,7,1.0,1.0,3.0,within a day,97%,f,4.0,6.0,52.53392,13.40503,t,15,45,75,315,269,37,0,4.59,4.57,4.87,4.45,1.73,146.0,21.0,0.125,0.125,0.0339215686274509,4176.0,-320.0,0.1777638883463117,50,489,38
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,within an hour,100%,t,8.0,8.0,46.8122,-71.22909,t,25,55,81,345,286,52,1,4.87,4.95,4.71,4.79,4.19,164.0,18.0,0.2857142857142857,0.1428571428571428,0.1995238095238095,2434.0,-412.0,0.1032795558988645,20,498,28
Private room in rental unit,Private room,3,1.0,1.0,2.0,within an hour,100%,t,40.0,60.0,38.73809019999999,-9.1351358,t,4,9,14,263,21,21,2,4.76,4.9,4.9,4.86,1.85,85.0,6.0,0.25,0.25,0.0179611650485436,2742.0,-431.0,0.0660807586719969,102,489,58
Room in hotel,Private room,2,1.0,1.0,1.0,within an hour,100%,f,4.0,4.0,51.505779,-0.226152,t,26,53,83,356,130,34,4,4.62,4.65,4.69,4.56,2.57,165.0,2.0,0.3333333333333333,0.3333333333333333,0.257,1182.0,-334.0,0.0547722557505169,9,507,38
Entire home,Entire home/apt,6,3.0,3.0,7.0,within an hour,100%,t,1.0,1.0,21.87281,-159.4498,t,0,6,12,76,38,16,0,4.97,4.87,5.0,4.89,0.35,470.0,42.0,0.4285714285714285,0.4285714285714285,0.0012068965517241,2995.0,-404.0,0.0623832242407096,289,491,65
Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,within an hour,100%,t,149.0,154.0,21.2766879,-157.8237861,t,3,18,33,149,121,54,3,4.98,4.98,4.93,4.8,4.43,238.0,2.0,0.0,0.3333333333333333,0.0204147465437788,953.0,-432.0,0.0850000000000002,216,380,46
Entire loft,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,t,5.0,5.0,36.4202,28.16386,t,29,59,89,282,88,26,0,4.92,4.88,4.85,4.81,2.07,78.0,2.0,0.3333333333333333,0.3333333333333333,0.0246428571428571,1250.0,-305.0,0.0465474668125632,83,88,27
Entire home,Entire home/apt,4,2.0,2.0,2.0,within a few hours,90%,f,1.0,1.0,45.35401,-65.54015,t,26,54,80,252,18,18,0,4.89,4.89,5.0,4.83,3.88,230.0,8.0,0.4,0.4,0.0340350877192982,-213.0,-328.0,0.0708872343937891,113,449,52
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,f,4.0,7.0,-33.890821,151.2151416,t,1,11,34,220,24,24,3,4.79,4.67,5.0,4.75,3.5,231.0,2.0,0.3333333333333333,0.3333333333333333,0.023972602739726,1629.0,-405.0,0.1408012784032872,145,495,48
Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,within an hour,100%,t,21.0,22.0,36.12306,-115.17152,t,30,60,87,362,1,1,0,5.0,5.0,5.0,5.0,0.58,403.0,18.0,0.2857142857142857,0.2857142857142857,0.145,1215.0,-388.0,0.0,3,470,15
Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,within an hour,100%,f,5.0,6.0,41.14737,-8.60318,t,17,31,55,288,27,4,0,4.67,4.59,4.89,4.78,0.39,90.0,15.0,0.3333333333333333,0.1666666666666666,0.005,1990.0,-272.0,0.1307351011269225,77,344,25
Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,within an hour,100%,f,1.0,1.0,48.8520524695978,2.2917575960172933,t,27,57,87,362,1,0,0,5.0,5.0,5.0,5.0,0.08,190.0,4.0,0.3333333333333333,0.3333333333333333,0.02,3300.0,34.0,0.0,3,298,38
Private room in rental unit,Private room,1,1.0,1.0,1.0,a few days or more,0%,f,1.0,3.0,40.72956,-73.97973,t,0,0,10,160,7,0,0,5.0,5.0,5.0,5.0,0.15,40.0,1.0,0.5,0.5,0.0007281553398058,1672.0,-35.0,0.0,205,208,14
Cycladic home,Entire home/apt,8,2.0,3.0,5.0,within an hour,100%,f,4.0,7.0,37.42672,25.33993,t,29,59,89,271,2,1,0,5.0,5.0,5.0,5.0,0.11,350.0,40.0,0.3333333333333333,0.2222222222222222,0.0011578947368421,2795.0,-207.0,0.0,94,574,46
Private room in vacation home,Private room,2,1.0,1.0,1.0,within an hour,100%,t,1.0,1.0,38.75869,-9.27552,t,23,44,72,342,70,26,0,4.79,4.9,4.41,4.7,2.1,40.0,2.0,0.3333333333333333,0.3333333333333333,0.0875,845.0,-309.0,0.2099206199177839,23,88,10
Entire vacation home,Entire home/apt,2,1.0,1.0,0.0,within an hour,100%,f,1.0,1.0,38.024612763477386,12.879849038268771,t,0,0,0,45,24,24,0,4.71,4.88,4.92,4.63,2.81,78.0,0.0,0.3333333333333333,0.3333333333333333,0.0087538940809968,-81.0,-287.0,0.1377195217340906,320,309,8
Entire villa,Entire home/apt,8,4.0,4.0,8.0,within an hour,100%,f,324.0,458.0,39.5410316,2.5803044,t,29,59,89,364,1,1,0,5.0,5.0,5.0,5.0,0.18,676.0,64.0,0.4444444444444444,0.4444444444444444,0.09,-81.0,-265.0,0.0,1,451,41
Entire rental unit,Entire home/apt,4,2.0,2.0,0.0,,,f,2.0,2.0,35.9225169,14.4766811,t,17,47,77,257,2,2,0,4.0,5.0,3.0,4.0,0.42,100.0,0.0,0.4,0.4,0.0038532110091743,419.0,-228.0,0.816496580927726,108,456,28
Entire rental unit,Entire home/apt,5,1.0,4.0,8.0,within an hour,100%,f,2.0,2.0,48.1782,16.37854,t,19,29,46,198,104,11,0,4.93,4.92,4.71,4.84,1.47,236.0,40.0,0.6666666666666666,0.1666666666666666,0.0087499999999999,1778.0,-360.0,0.1016530045465126,167,456,39
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,t,8.0,8.0,44.81983,-0.54348,t,18,45,75,303,51,46,6,4.92,4.86,4.73,4.75,3.32,67.0,8.0,0.2,0.2,0.0526984126984126,181.0,-433.0,0.0903696114115062,62,302,41
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,f,26.0,38.0,40.41108219579541,-3.700662565293365,t,3,17,38,218,55,43,2,4.58,4.71,4.6,4.45,3.4,68.0,2.0,0.3333333333333333,0.3333333333333333,0.0229729729729729,2488.0,-407.0,0.106614570611463,147,57,26
Private room in home,Private room,2,1.0,1.0,1.0,,,f,1.0,3.0,37.39055,-121.87358,t,30,60,89,89,1,0,0,5.0,5.0,5.0,5.0,0.01,100.0,2.0,0.3333333333333333,0.3333333333333333,3.610108303249098e-05,3255.0,2064.0,0.0,276,501,23
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,,,f,1.0,1.0,40.423,-3.70297,t,17,47,77,352,10,4,0,5.0,5.0,5.0,4.6,0.45,293.0,2.0,0.3333333333333333,0.3333333333333333,0.0321428571428571,3553.0,-307.0,0.2000000000000001,13,509,42
Entire villa,Entire home/apt,6,3.0,3.0,3.0,within an hour,76%,f,1430.0,3254.0,40.69517,17.51087,t,0,0,0,209,0,0,0,,,,,,638.0,18.0,0.4285714285714285,0.4285714285714285,,3720.0,,,156,220,9
Shared room in bed and breakfast,Shared room,1,6.0,1.0,2.0,within an hour,100%,t,10.0,11.0,38.73322733340066,-9.136118071497764,t,30,60,90,365,0,0,0,,,,,,21.0,2.0,0.5,3.0,,38.0,,,0,73,19
Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,within an hour,100%,f,65.0,86.0,26.30397,-80.12873,t,18,48,78,353,17,17,6,4.71,4.76,5.0,4.88,2.68,168.0,8.0,0.4,0.4,0.2061538461538461,246.0,-350.0,0.1297112177107285,12,517,32
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,100%,f,2.0,2.0,51.056280924253066,3.716770000000005,t,15,43,73,348,25,8,1,4.92,4.68,4.96,4.72,1.15,72.0,2.0,0.3333333333333333,0.3333333333333333,0.0638888888888888,817.0,-342.0,0.1404753833713699,17,284,26
Entire home,Entire home/apt,16,8.0,8.0,8.0,within an hour,100%,t,100.0,119.0,26.13528504109035,-80.12888760281861,t,1,10,35,236,0,0,0,,,,,,800.0,128.0,0.4705882352941176,0.4705882352941176,,2909.0,,,129,437,31
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a few hours,100%,f,2.0,2.0,45.47416,9.18918,t,29,47,47,135,2,2,0,5.0,5.0,5.0,5.0,0.18,144.0,2.0,0.3333333333333333,0.3333333333333333,0.0007792207792207,2079.0,-265.0,0.0,230,462,48
Entire rental unit,Entire home/apt,3,1.0,0.0,1.0,within an hour,98%,f,48.0,51.0,34.04762649536133,-118.43460083007812,t,30,60,90,365,38,1,0,4.79,4.74,4.84,4.73,0.4,105.0,3.0,0.0,0.25,0.4,4144.0,-387.0,0.0506622805119019,0,496,37
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,f,44.0,105.0,37.81836,15.26706,t,0,0,0,260,1,1,0,5.0,5.0,5.0,5.0,0.19,109.0,8.0,0.2,0.2,0.0017924528301886,2575.0,-208.0,0.0,105,498,16
Entire condo,Entire home/apt,4,2.0,1.0,2.0,within an hour,100%,t,549.0,596.0,20.915973,-156.695372,t,0,0,0,28,1,1,0,5.0,5.0,5.0,5.0,0.47,622.0,8.0,0.2,0.4,0.0013905325443786,3087.0,-376.0,0.0,337,222,49
Private room in home,Private room,2,1.0,1.0,1.0,within a day,80%,t,5.0,6.0,19.3419,-99.16903,t,0,11,41,221,20,4,0,4.75,4.6,4.75,4.55,0.28,300.0,2.0,0.3333333333333333,0.3333333333333333,0.0019310344827586,1925.0,-325.0,0.1030776406404416,144,166,19
Private room in home,Private room,2,1.0,1.0,1.0,,,f,1.0,1.0,40.37640798193564,-3.620766922831535,,28,58,88,88,0,0,0,,,,,,63.0,2.0,0.3333333333333333,0.3333333333333333,,1491.0,,,277,0,11
Entire home,Entire home/apt,6,2.5,2.0,2.0,within an hour,100%,t,18.0,34.0,47.58727,-122.39622,t,29,59,67,67,6,1,0,4.83,4.67,5.0,4.67,0.15,159.0,12.0,0.2857142857142857,0.3571428571428571,0.0005016722408026,1679.0,-202.0,0.1575595125658873,298,310,73
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,,,f,7.0,7.0,41.14852142333984,-8.603973388671875,t,29,59,89,298,88,18,0,4.88,4.88,4.93,4.8,1.23,86.0,2.0,0.3333333333333333,0.3333333333333333,0.0180882352941176,2030.0,-299.0,0.0537742193496722,67,450,35
Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,within a day,67%,f,6.0,6.0,40.65367,17.35589,t,0,0,0,213,10,3,0,5.0,5.0,4.7,4.5,0.25,100.0,2.0,0.3333333333333333,0.3333333333333333,0.0016339869281045,2250.0,-215.0,0.2449489742783178,152,386,13
Entire rental unit,Entire home/apt,8,2.0,3.0,4.0,within an hour,100%,f,62.0,112.0,51.52633368147875,-0.1983322895414106,t,11,31,61,137,8,8,0,4.75,4.88,4.38,4.63,1.12,500.0,32.0,0.3333333333333333,0.2222222222222222,0.0048908296943231,2779.0,-276.0,0.2127596452964393,228,263,25
Entire condo,Entire home/apt,4,1.0,2.0,4.0,,,f,1.0,1.0,36.887817,15.075209,t,26,56,86,210,1,0,0,5.0,5.0,5.0,5.0,0.06,73.0,16.0,0.4,0.2,0.0003846153846153,1588.0,162.0,0.0,155,486,50
Entire villa,Entire home/apt,8,1.0,3.0,3.0,a few days or more,0%,f,1.0,2.0,39.87793,18.13146,t,28,58,88,363,4,0,0,3.5,3.5,4.25,3.5,0.08,95.0,24.0,0.3333333333333333,0.1111111111111111,0.0266666666666666,2609.0,534.0,0.375,2,446,15
Entire villa,Entire home/apt,6,2.0,3.0,5.0,within an hour,99%,f,88.0,88.0,39.89999,3.05522,t,8,13,30,90,44,7,0,4.45,4.39,4.73,4.41,0.61,193.0,30.0,0.4285714285714285,0.2857142857142857,0.0022101449275362,3559.0,-308.0,0.1586400537905441,275,338,45
Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,within an hour,90%,,2.0,2.0,-42.995,147.3116,t,8,23,51,141,71,11,0,4.84,4.86,4.87,4.87,0.62,122.0,2.0,0.3333333333333333,0.3333333333333333,0.0027555555555555,3297.0,-392.0,0.014142135623731,224,191,49
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,98%,f,15.0,19.0,48.8844894,2.392638,t,29,59,89,364,78,43,5,4.77,4.91,4.49,4.62,4.1,122.0,8.0,0.2,0.2,2.05,3457.0,-335.0,0.1820942979154847,1,365,41
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a day,90%,f,850.0,891.0,48.8827223,2.3482314,t,0,0,8,283,0,0,0,,,,,,86.0,2.0,0.3333333333333333,0.3333333333333333,,1487.0,,,82,300,26
Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,within an hour,100%,t,4.0,19.0,51.50939038238191,-0.1221340955793593,t,11,32,32,32,3,3,2,5.0,4.67,5.0,5.0,2.05,373.0,8.0,0.4,0.4,0.0061377245508982,1264.0,-342.0,0.165,333,60,61
Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,within an hour,100%,t,1.0,1.0,40.39898324649824,-3.694550908447933,t,13,28,49,284,15,12,1,4.93,4.93,4.87,4.67,0.98,90.0,4.0,0.2,0.2,0.0119512195121951,62.0,-417.0,0.1232882800593794,81,293,39
Entire home,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,f,87.0,161.0,51.50042,-0.21107,t,5,15,15,19,112,15,1,4.77,4.64,4.78,4.73,1.11,133.0,8.0,0.4,0.2,0.0031988472622478,3347.0,-328.0,0.0637704215656967,346,283,21
Entire rental unit,Entire home/apt,6,3.0,3.0,5.0,within a few hours,100%,f,1.0,1.0,39.76867,3.14713,t,29,59,89,304,24,6,0,4.92,5.0,5.0,4.75,0.35,115.0,30.0,0.4285714285714285,0.4285714285714285,0.0056451612903225,1903.0,-241.0,0.1178629147215809,61,381,42
Entire home,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,f,2.0,4.0,41.86028,-71.45549,t,1,29,59,59,0,0,0,,,,,,159.0,8.0,0.4,0.2,,2762.0,,,306,382,11
Entire home,Entire home/apt,6,2.0,3.0,3.0,within a day,83%,f,1.0,1.0,32.68998,-96.84993,t,0,0,0,0,0,0,0,,,,,,151.0,18.0,0.4285714285714285,0.2857142857142857,,3080.0,,,365,42,11
Private room in condo,Private room,4,1.0,1.0,2.0,within an hour,100%,f,1.0,1.0,52.37649,4.89043,t,9,10,13,20,41,3,0,5.0,5.0,5.0,4.88,0.55,264.0,8.0,0.2,0.2,0.0015895953757225,3585.0,-338.0,0.06,345,473,16
Entire condo,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,f,1.0,1.0,39.79884,2.69229,t,25,47,59,328,58,17,2,4.81,4.71,4.88,4.67,1.73,108.0,2.0,0.3333333333333333,0.3333333333333333,0.0455263157894736,1419.0,-424.0,0.0953502316025852,37,343,38
Entire home,Entire home/apt,10,3.0,4.0,5.0,within an hour,100%,,13.0,14.0,30.37981,-97.95436,t,7,37,67,245,3,0,0,5.0,5.0,4.67,4.33,0.09,558.0,50.0,0.3636363636363636,0.2727272727272727,0.0007438016528925,3439.0,176.0,0.3203123475609393,120,461,24
Private room in rental unit,Private room,2,1.0,1.0,1.0,a few days or more,0%,f,2.0,2.0,-22.98786,-43.22326,t,24,54,75,350,1,0,0,4.0,5.0,5.0,4.0,0.04,229.0,2.0,0.3333333333333333,0.3333333333333333,0.0025,724.0,484.0,0.5773502691896257,15,381,9
Entire home,Entire home/apt,5,2.5,3.0,3.0,,,f,1.0,1.0,54.06438,-8.18427,t,12,42,72,313,178,40,2,4.9,4.86,4.92,4.78,2.68,196.0,15.0,0.5,0.4166666666666667,0.050566037735849,3457.0,-329.0,0.0619139187366889,52,498,47
Private room in serviced apartment,Private room,1,1.0,1.0,1.0,within an hour,100%,f,2.0,2.0,19.42094,-99.08256,t,26,52,82,259,5,5,0,5.0,5.0,5.0,5.0,0.79,464.0,1.0,0.5,0.5,0.0073831775700934,-160.0,-329.0,0.0,106,68,7
Entire loft,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,t,1.0,1.0,37.0595,15.29661,t,20,43,71,268,43,8,0,4.98,5.0,4.98,4.98,1.35,83.0,8.0,0.2,0.2,0.0137755102040816,3282.0,-323.0,0.0099999999999997,97,453,53
Entire home,Entire home/apt,8,1.0,4.0,6.0,within a few hours,100%,f,1.0,1.0,-37.99112,145.06956,t,23,53,83,358,10,10,1,4.8,4.7,5.0,4.8,3.75,294.0,48.0,0.4444444444444444,0.1111111111111111,0.46875,1570.0,-425.0,0.1258305739211791,7,509,53
Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,,,f,10.0,11.0,36.43601245948222,25.438324308226825,t,0,0,0,0,53,14,0,4.92,4.98,4.66,4.81,1.03,200.0,12.0,0.2,0.2,0.0028142076502732,1208.0,-298.0,0.1405643387681718,365,0,43
Entire vacation home,Entire home/apt,4,1.5,1.0,2.0,within an hour,100%,t,3.0,4.0,44.49491,11.35113,t,9,22,30,30,89,24,2,4.93,5.0,4.96,4.81,2.11,186.0,8.0,0.2,0.3,0.0062797619047619,3364.0,-419.0,0.0818535277187246,335,274,36
Private room in condo,Private room,2,1.0,1.0,1.0,within a few hours,100%,f,1.0,1.0,41.39833,2.1324,t,9,9,22,22,21,21,4,4.57,4.62,4.81,4.48,2.9,75.0,2.0,0.3333333333333333,0.3333333333333333,0.0084302325581395,3028.0,-425.0,0.1392838827718408,343,67,41
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,f,82.0,106.0,51.48024054409967,-0.093728701835369,t,7,10,29,209,1,1,0,5.0,5.0,5.0,5.0,0.19,118.0,6.0,0.25,0.25,0.0012101910828025,1767.0,-185.0,0.0,156,479,46
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,99%,f,17.0,19.0,50.84761,4.35404,t,13,30,30,73,115,27,3,4.9,4.9,4.88,4.71,2.62,118.0,2.0,0.3333333333333333,0.3333333333333333,0.0089419795221843,3078.0,-436.0,0.092150239645194,292,129,28
Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,within an hour,83%,f,3.0,3.0,45.4357331,12.3461322,t,29,43,50,217,18,18,0,4.89,4.94,5.0,4.89,1.7,162.0,12.0,0.4,0.4,0.0114093959731543,-49.0,-365.0,0.0522812904711939,148,479,44
Entire home,Entire home/apt,10,3.0,3.0,6.0,within a few hours,67%,t,1.0,1.0,45.036,-93.1091,t,29,42,58,156,18,18,0,4.78,4.83,4.89,4.5,1.6,445.0,60.0,0.2727272727272727,0.2727272727272727,0.0076190476190476,-155.0,-369.0,0.1726267650163206,209,506,41
Entire condo,Entire home/apt,2,1.0,1.0,1.0,,,t,1.0,1.0,40.34799304669162,18.17061392045252,t,13,43,73,348,48,23,0,4.96,5.0,4.96,4.96,2.34,160.0,2.0,0.3333333333333333,0.3333333333333333,0.13,1837.0,-314.0,0.02,17,430,47
Entire home,Entire home/apt,6,2.0,3.0,4.0,within an hour,100%,f,2.0,2.0,41.80195,3.05144,t,0,0,0,118,5,4,0,5.0,4.6,5.0,4.8,0.3,301.0,24.0,0.4285714285714285,0.2857142857142857,0.0012096774193548,2310.0,-236.0,0.1914854215512678,247,488,7
Room in hotel,Hotel room,4,1.0,1.0,2.0,within an hour,100%,f,434.0,919.0,32.77367,-117.23961,t,21,49,75,347,2,2,0,5.0,5.0,5.0,4.5,0.38,999.0,8.0,0.2,0.2,0.02,539.0,-246.0,0.25,18,443,24
Entire condo,Entire home/apt,4,1.0,0.0,2.0,within an hour,100%,t,2.0,2.0,40.63478,22.94425,t,16,46,72,150,8,8,2,4.75,5.0,5.0,4.88,0.78,59.0,8.0,0.0,0.2,0.0036111111111111,-43.0,-338.0,0.1192686044187656,215,471,35
Private room in rental unit,Private room,4,2.0,2.0,2.0,within an hour,100%,,28.0,28.0,38.1541082,13.0829779,t,29,59,89,364,3,3,0,5.0,5.0,4.67,5.0,0.45,101.0,8.0,0.4,0.4,0.225,2461.0,-191.0,0.165,1,260,35
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,,,f,1.0,3.0,55.655253295786856,12.603628295629852,t,30,60,90,365,0,0,0,,,,,,717.0,2.0,0.3333333333333333,0.3333333333333333,,2017.0,,,0,278,6
Private room in rental unit,Private room,1,1.0,1.0,1.0,,,f,1.0,3.0,40.68936,-73.90561,t,29,59,89,364,44,0,0,4.7,4.57,4.8,4.64,0.42,62.0,1.0,0.5,0.5,0.21,3390.0,120.0,0.0974251849711697,1,338,15
Entire home,Entire home/apt,5,2.0,3.0,3.0,,,f,1.0,1.0,51.46627,-2.54435,t,0,0,30,30,5,5,0,5.0,4.8,4.8,4.8,0.57,70.0,15.0,0.5,0.3333333333333333,0.0016964285714285,-75.0,-238.0,0.1,335,510,28
Entire condo,Entire home/apt,2,2.0,1.0,2.0,within a few hours,100%,t,1.0,1.0,20.70975,-156.44107,t,1,15,45,308,211,15,1,4.95,4.94,4.93,4.9,1.36,187.0,4.0,0.3333333333333333,0.6666666666666666,0.0234482758620689,4411.0,-410.0,0.0216024689946928,57,517,43
Entire condo,Entire home/apt,2,1.0,0.0,1.0,,,f,27.0,27.0,29.939039655040844,-90.0759869686762,t,0,29,29,29,0,0,0,,,,,,206.0,2.0,0.0,0.3333333333333333,,-91.0,,,336,39,23
Entire home,Entire home/apt,6,1.5,1.0,3.0,within a few hours,90%,f,34.0,35.0,40.408,-3.70854,t,28,54,84,174,1,1,0,5.0,5.0,5.0,5.0,0.14,170.0,18.0,0.1428571428571428,0.2142857142857142,0.0007291666666666,3377.0,-219.0,0.0,191,36,24
Entire rental unit,Entire home/apt,2,1.0,2.0,2.0,within an hour,100%,f,4.0,7.0,45.54474,-73.59433,t,0,0,0,188,0,0,0,,,,,,133.0,4.0,0.6666666666666666,0.3333333333333333,,4185.0,,,177,248,24
Entire rental unit,Entire home/apt,4,1.0,1.0,0.0,within a few hours,100%,t,2.0,2.0,55.952008,-3.1107166,t,0,11,39,61,15,15,0,4.67,4.53,4.8,4.4,1.88,108.0,0.0,0.2,0.2,0.0061639344262295,-115.0,-370.0,0.1730125236314794,304,507,27
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,98%,f,258.0,305.0,36.8926636,15.0671341,t,25,55,85,358,8,8,0,4.63,4.5,5.0,4.63,1.08,58.0,8.0,0.4,0.2,0.135,412.0,-253.0,0.2155612828563299,7,70,26
